,rewire_id,lime_output_token,SHAP_value_token,lime_output_target,SHAP_value_target,True_count_tokens,True_count_target,SHAP_token_count,ratio_SHAP_token_detection,SHAP_token_FN,SHAP_token_FP,SHAP_token_TP,SHAP_token_precision,SHAP_token_recall,SHAP_token_f1,SHAP_target_count,ratio_SHAP_target_detection,SHAP_target_TP,SHAP_target_FP,SHAP_target_FN,SHAP_target_precision,SHAP_target_recall,SHAP_target_f1,lime_tokens_count,ratio_LIME_token_detection,lime_token_TP,lime_token_FP,lime_token_FN,lime_token_precision,lime_token_recall,lime_token_f1,lime_target_count,ratio_LIME_target_detection,lime_target_TP,lime_target_FP,lime_target_FN,lime_target_precision,lime_target_recall,lime_target_f1
6,sexism2022_english-7228,"[(""girls"", 0.1260699807401549), (""hot"", 0.11017943391138621), (""easy"", 0.08872399603647299), (""wear"", 0.06720513531145339), (""get"", 0.051192584248678716), (""miniskirts"", 0.048524494490381855), (""day"", 0.00900009042664362), (""leg"", 0.006705682075005766), (""asked"", -0.06790172935024645)]","[""day "", ""easy "", ""hot "", ""wear "", ""miniskirts "", ""get "", ""asked""]","[(""girls"", 0.039698279655150506), (""hot"", 0.018830973286273762), (""wear"", 0.01833890077316931), (""get"", 0.016448476066257323), (""asked"", 0.009773253727580481), (""miniskirts"", 0.007471265881863834), (""easy"", 0.005427442635322481), (""day"", 0.0031389023714277512), (""leg"", -0.00857033800085691)]","["" "", ""leg "", ""day "", ""is "", ""easy"", "". "", ""hot "", ""girls "", ""who "", ""wear "", ""min"", ""isk"", ""irts "", ""get "", ""asked "", ""out"", ""."", """"]",5.0,2.0,2.0,0.4,3.0,5.0,2.0,0.2857142857142857,0.4,0.3333333333333333,1.0,0.5,1.0,14.0,1.0,0.06666666666666667,0.5,0.11764705882352941,3.0,0.6,3.0,6.0,2.0,0.3333333333333333,0.6,0.42857142857142855,1.0,0.5,1.0,8.0,1.0,0.1111111111111111,0.5,0.1818181818181818
8,sexism2022_english-872,"[(""pussy"", 0.9110008708055736), (""ladies"", 0.027943411182520077), (""spending"", 0.021035594285126157), (""pathetic"", 0.01246804598854822), (""pretending"", 0.011311867233801882), (""best"", 0.009761065887643906), (""want"", 0.007751992194148554), (""every"", 0.007689544994418579), (""learn"", 0.006863359852156709), (""asian"", -0.04427580973249078)]","[""get "", ""pussy "", ""week "", ""whenever "", ""really "", ""learn "", ""also "", ""get "", ""laid "", ""best "", ""asian "", ""ladies "", ""spending "", ""years "", ""something ""]","[(""ladies"", 0.016843390835558462), (""something"", 0.015757381511169864), (""pretending"", 0.015453143452086269), (""pussy"", 0.012780466214197084), (""spending"", 0.012369826730465874), (""youtube"", 0.011375428197567504), (""pathetic"", 0.010936885819916224), (""get"", 0.010722176230379132), (""asian"", 0.009434276493385216), (""laid"", 0.009225800973876546)]","["""", ""i "", ""get "", ""a "", ""new "", ""pussy "", ""every "", ""other "", ""week "", ""or "", ""whenever "", ""i "", ""want "", ""really"", "". "", ""didnt "", ""have "", ""to "", ""learn "", ""how "", ""to "", ""either "", ""from "", ""youtube "", ""videos"", "". "", ""also "", ""pu"", ""as "", ""dont "", ""get "", ""laid"", "". "", ""at "", ""best "", ""they "", ""get "", ""5"", ""/"", ""10 "", ""as"", ""ian "", ""ladies "", ""after "", ""spending "", ""years "", ""pretending "", ""to "", ""be "", ""something "", ""they "", ""aren"", ""t"", "". "", ""its "", ""pathetic"", """"]",9.0,3.0,4.0,0.4444444444444444,5.0,11.0,3.0,0.21428571428571427,0.375,0.2727272727272727,1.0,0.3333333333333333,1.0,44.0,2.0,0.022222222222222223,0.3333333333333333,0.04166666666666667,1.0,0.1111111111111111,1.0,9.0,7.0,0.1,0.125,0.11111111111111112,2.0,0.6666666666666666,2.0,8.0,1.0,0.2,0.6666666666666666,0.30769230769230765
9,sexism2022_english-3553,"[(""woman"", 0.1687521567054556), (""control"", 0.1051248334109685), (""begins"", 0.09122817646878281), (""women"", 0.07883112304751466), (""hotter"", 0.0676326479309931), (""want"", 0.06739641390133323), (""hit"", 0.06038556617117812), (""impulse"", -0.05556119765255045), (""younger"", -0.06688117223805401), (""love"", -0.0678824045081517)]","[""agree "", ""time "", ""well "", ""say "", ""love "", ""woman "", ""minute "", ""hotter "", ""younger "", ""women "", ""enters "", ""picture "", ""impulse "", ""control "", ""going ""]","[(""woman"", 0.021858944752286055), (""women"", 0.019124462063322058), (""younger"", 0.01485943438940213), (""say"", 0.013224146701348066), (""impulse"", 0.011694651920592464), (""well"", 0.01022820092049295), (""control"", 0.009353479436349574), (""know"", 0.008198953409738722), (""time"", 0.007732676163555025), (""hotter"", 0.007115368631205314)]","["""", ""i "", ""agree "", ""with "", ""that "", ""but "", ""at "", ""the "", ""same "", ""time "", ""i "", ""know "", ""myself "", ""well "", ""enough "", ""to "", ""say "", ""i "", ""can"", ""’"", ""’"", ""t "", ""love "", ""a "", ""woman"", "". "", ""the "", ""minute "", ""she "", ""begins "", ""to "", ""hit "", ""the "", ""wall "", ""and "", ""some "", ""hotter"", "", "", ""younger "", ""women "", ""enters "", ""the "", ""picture"", "", "", ""it"", ""’"", ""’"", ""s "", ""time "", ""for "", ""impulse "", ""control "", ""because "", ""i"", ""’"", ""’"", ""m "", ""going "", ""to "", ""want "", ""that"", ""."", """"]",11.0,2.0,2.0,0.18181818181818182,9.0,13.0,2.0,0.13333333333333333,0.18181818181818182,0.15384615384615383,1.0,0.5,1.0,43.0,1.0,0.022727272727272728,0.5,0.04347826086956522,3.0,0.2727272727272727,3.0,7.0,7.0,0.3,0.3,0.3,1.0,0.5,1.0,9.0,1.0,0.1,0.5,0.16666666666666669
14,sexism2022_english-14992,"[(""shes"", 0.0261479619813088), (""men"", 0.023711648560397314), (""way"", 0.005850354983354182), (""come"", 0.005611815047437518), (""attracted"", -0.02057578267855224)]","[""come "", ""way "", ""men "", ""attracted "", ""shes""]","[(""men"", 0.058698356088769534), (""way"", 0.01935211180150872), (""attracted"", 0.017932596669839613), (""shes"", 0.012665190776631884), (""come"", -0.0013402629826923637)]","["""", ""o "", ""come "", ""on "", ""there"", ""s "", ""no "", ""way "", ""any "", ""men "", ""are "", ""attracted "", ""to "", ""her "", ""she"", ""s "", ""a "", ""pig"", ""🙄"", ""🙄"", ""🙄"", """"]",4.0,1.0,1.0,0.25,3.0,4.0,1.0,0.2,0.25,0.22222222222222224,1.0,1.0,1.0,16.0,0.0,0.058823529411764705,1.0,0.1111111111111111,1.0,0.25,1.0,4.0,3.0,0.2,0.25,0.22222222222222224,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
15,sexism2022_english-13328,"[(""bitch"", 0.822965678665116), (""woman"", 0.09779537044606676), (""fuck"", 0.05372717358194652), (""shithole"", 0.015530835743262427), (""leftist"", 0.014824815177058163), (""dumb"", -0.015120805889915526), (""one"", -0.01774168005728316), (""minnesota"", -0.03497257554410468), (""bill"", -0.037905670517619), (""klobuchar"", -0.04453921214860839)]","[""democrats "", ""minnesota "", ""one "", ""position "", ""bill "", ""woman""]","[(""leftist"", 0.0178362338766599), (""moronic"", 0.01330993976352945), (""democrats"", 0.011869770977140835), (""woman"", 0.010663428862929245), (""stupid"", 0.010081016427613332), (""shithole"", 0.007773813534316077), (""bitch"", 0.006696295007504636), (""dumbest"", 0.005587827755366946), (""dumb"", 0.005190539699942686), (""muzzie"", 0.003786020978894096)]","["""", ""dem"", ""ocrats "", ""from "", ""min"", ""nesota "", ""("", ""left"", ""ist "", ""m"", ""uzz"", ""ie "", ""sh"", ""ith"", ""ole"", "") "", ""are "", ""the "", ""dumb"", ""est "", ""anti"", ""-"", ""amer"", ""icans "", ""there "", ""are"", "". "", ""k"", ""l"", ""ob"", ""uch"", ""ar"", "", "", ""one "", ""of "", ""the "", ""reps"", "". "", ""is "", ""a "", ""dumb "", ""bitch "", ""who "", ""has "", ""a "", ""mor"", ""onic "", ""position "", ""on "", ""the "", ""tax "", ""bill"", "". "", ""fuck "", ""this "", ""stupid "", ""woman"", """"]",14.0,4.0,1.0,0.07142857142857142,13.0,5.0,1.0,0.16666666666666666,0.07142857142857142,0.1,3.0,0.75,3.0,46.0,1.0,0.061224489795918366,0.75,0.11320754716981131,1.0,0.07142857142857142,1.0,9.0,12.0,0.1,0.07692307692307693,0.08695652173913043,2.0,0.5,2.0,8.0,2.0,0.2,0.5,0.28571428571428575
26,sexism2022_english-7260,"[(""woman"", 0.06281087309494843), (""legs"", 0.036679626525526164), (""universal"", 0.03391322918320663), (""open"", 0.030120042681347603), (""sprog"", 0.025772474160770525), (""credit"", 0.025356487022858618), (""wants"", 0.02447840235327084), (""says"", 0.024288827356863132), (""problem"", 0.021256052541751235), (""issue"", -0.026449227951161964)]","[""former "", ""bbc "", ""journalist "", ""thuto "", ""mali "", ""says "", ""universal "", ""credit "", ""woman "", ""rights "", ""affecting "", ""open "", ""willing ""]","[(""woman"", 0.019801663305326206), (""says"", 0.014093863327113357), (""open"", 0.01348527837364312), (""journalist"", 0.013316317929560846), (""mali"", 0.012850214505049579), (""rights"", 0.012590745096650527), (""bbc"", 0.01093599079322702), (""problem"", 0.010843210815518431), (""legs"", 0.01026206432414554), (""wants"", 0.00970873221429874)]","["""", ""former "", ""b"", ""bc "", ""journalist "", ""th"", ""uto "", ""mal"", ""i "", ""says "", ""that "", ""universal "", ""credit "", ""is "", ""now "", ""a "", ""woman"", ""’"", ""’"", ""s "", ""rights "", ""issue "", ""as "", ""it"", ""’"", ""’"", ""s "", ""affecting "", ""her "", ""finances"", "". "", ""if "", ""she "", ""wants "", ""to "", ""open "", ""her "", ""legs "", ""and "", ""sp"", ""rew "", ""a "", ""sp"", ""rog "", ""that"", ""’"", ""’"", ""s "", ""her "", ""problem "", "", "", ""my "", ""problem "", ""is "", ""i"", ""’"", ""’"", ""m "", ""not "", ""willing "", ""to "", ""finance "", ""the "", ""sp"", ""rog"", """"]",18.0,2.0,2.0,0.1111111111111111,14.0,11.0,2.0,0.15384615384615385,0.125,0.13793103448275862,0.0,0.0,0.0,44.0,2.0,0.0,0.0,0.0,4.0,0.2222222222222222,4.0,6.0,12.0,0.4,0.25,0.3076923076923077,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0
27,sexism2022_english-6629,"[(""woman"", 0.30999216800479773), (""bullshit"", 0.1853554626309879), (""ass"", 0.15048545097893315), (""posts"", 0.08636933340994982), (""well"", 0.06776417270300487), (""back"", 0.050047774653539184), (""minorities"", -0.033689677056614215), (""based"", -0.05466505885217608), (""like"", -0.07674059859069449), (""someone"", -0.15833330100833384)]","[""ass "", ""back "", ""line "", ""acts "", ""like "", ""bullshit "", ""minorities "", ""one "", ""us""]","[(""someone"", 0.02123893057561568), (""bullshit"", 0.02024595643534854), (""woman"", 0.01791980678463442), (""acts"", 0.015674018808566028), (""ass"", 0.013049787039212812), (""like"", 0.01256788126973879), (""white"", 0.011809511401170737), (""minorities"", 0.008091050487794375), (""based"", 0.005972125908417868), (""us"", 0.00549290377507928)]","["""", ""well "", ""then "", ""good "", ""because "", ""someone "", ""has "", ""to "", ""knock "", ""her "", ""ass "", ""back "", ""in "", ""line "", ""when "", ""she "", ""acts "", ""like "", ""a "", ""woman "", ""and "", ""posts "", ""bullshit "", ""about "", ""her "", ""(("", ""("", ""based "", ""minorities"", ""))"", ""). "", ""if "", ""someone "", ""is "", ""not "", ""white "", ""they "", ""are "", ""not "", ""one "", ""of "", ""us"", ""."", """"]",17.0,3.0,6.0,0.35294117647058826,10.0,3.0,6.0,0.6666666666666666,0.375,0.4800000000000001,4.0,1.3333333333333333,3.0,36.0,0.0,0.07692307692307693,1.0,0.14285714285714288,5.0,0.29411764705882354,5.0,5.0,10.0,0.5,0.3333333333333333,0.4,2.0,0.6666666666666666,2.0,8.0,1.0,0.2,0.6666666666666666,0.30769230769230765
32,sexism2022_english-7022,"[(""boobs"", 0.013937103968768213), (""touch"", 0.00547062993546996), (""work"", 0.004380924730104602), (""escalating"", 0.004073959628557671), (""escalate"", 6.719911299220713e-05), (""etc"", -0.0007191723838463457), (""bravery"", -0.00789390546443124)]","[""bravery "", ""escalate "", ""touch "", ""boobs "", ""etc "", ""work ""]","[(""boobs"", 0.0340352034387761), (""touch"", 0.021586395067663015), (""etc"", 0.020244410082938046), (""work"", 0.011077023696722333), (""escalate"", 0.009696023476774786), (""bravery"", 0.0027341270233698246), (""escalating"", 0.00015211830766185782)]","["""", ""i "", ""did"", "". "", ""you "", ""have "", ""to "", ""have "", ""the "", ""bravery "", ""to "", ""escalate"", "", "", ""touch "", ""her "", ""boobs "", ""etc"", "", "", ""and "", ""work "", ""on "", ""escalating "", ""it "", ""further"", ""."", """"]",4.0,1.0,2.0,0.5,2.0,4.0,2.0,0.3333333333333333,0.5,0.4,1.0,1.0,1.0,19.0,0.0,0.05,1.0,0.09523809523809523,2.0,0.5,2.0,5.0,2.0,0.2857142857142857,0.5,0.36363636363636365,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
38,sexism2022_english-10268,"[(""women"", 0.42108725291634513), (""dominated"", 0.1649672806238967), (""female"", 0.13431330331937663), (""bosses"", 0.10501547607742862), (""bad"", 0.10144773373792802), (""want"", 0.09645019995177544), (""hypergamy"", 0.08264819907357841), (""men"", 0.0769500396319991), (""make"", 0.04245511219825536), (""call"", -0.13593214487583896)]","[""yes "", ""normal "", ""women "", ""dominated "", ""social "", ""call "", ""hypergamy "", ""women "", ""bosses "", ""generally ""]","[(""women"", 0.020637484809619355), (""bad"", 0.01769993103621707), (""men"", 0.014190332350080524), (""scientists"", 0.011802337542537261), (""bosses"", 0.011386220292932276), (""female"", 0.011287422069823283), (""make"", 0.009974573606723072), (""dominated"", 0.007893020906864806), (""want"", 0.006710750850333552), (""yes"", -0.006508423879253919)]","["""", ""yes"", "", "", ""normal "", ""women "", ""want "", ""to "", ""be "", ""dominated"", "". "", ""social "", ""scientists "", ""call "", ""it "", ""female "", ""hyper"", ""g"", ""amy"", "". "", ""and "", ""it "", ""is "", ""why "", ""women "", ""make "", ""bad "", ""bosses "", ""for "", ""men"", "", "", ""generally "", ""speaking"", ""."", """"]",12.0,2.0,6.0,0.5,7.0,4.0,5.0,0.5555555555555556,0.4166666666666667,0.4761904761904762,3.0,1.5,2.0,25.0,0.0,0.07407407407407407,1.0,0.13793103448275862,5.0,0.4166666666666667,5.0,5.0,6.0,0.5,0.45454545454545453,0.47619047619047616,1.0,0.5,1.0,9.0,1.0,0.1,0.5,0.16666666666666669
41,sexism2022_english-12319,"[(""sock"", 0.0041643820548241525), (""brutal"", 0.0032407397565421053), (""mouth"", 0.0030646981890077273), (""smash"", 0.002486095445536631), (""going"", 0.0023426853759523913), (""haha"", -0.0026528383688568555), (""brother"", -0.0026704391169198524), (""reply"", -0.0026950847175053706), (""honesty"", -0.002985715641301783), (""godspeed"", -0.0032454650155147235)]","[""brutal "", ""got "", ""haha "", ""might "", ""go "", ""smash ""]","[(""lie"", 0.016081323041757783), (""honesty"", 0.014868517704222765), (""mouth"", 0.014336980405312096), (""brutal"", 0.014265797334033627), (""brother"", 0.013593206732310648), (""go"", 0.012394487592585521), (""tell"", 0.011688421067870521), (""sock"", 0.010816686915038624), (""reply"", 0.01059442446435416), (""smash"", 0.009586885486411576)]","["""", ""not "", ""going "", ""to "", ""lie"", "", "", ""the "", ""brutal "", ""honesty "", ""of "", ""this "", ""reply "", ""got "", ""me "", ""rolling "", ""haha "", ""i "", ""might "", ""go "", ""over "", ""and "", ""smash "", ""but "", ""i"", ""ll "", ""have "", ""to "", ""tell "", ""her "", ""to "", ""st"", ""fu "", ""or "", ""put "", ""a "", ""sock "", ""in "", ""her "", ""mouth"", """" , ""l"", ""ma"", ""o"", "", "", ""god"", ""speed "", ""brother"", """"]",14.0,1.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,39.0,0.0,0.025,1.0,0.04878048780487806,2.0,0.14285714285714285,2.0,8.0,10.0,0.2,0.16666666666666666,0.1818181818181818,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0
